TileIndex,Red,Green,Blue
847,129,122,104
848,120,135,141
849,56,42,70
850,195,195,195
851,73,86,89
852,191,202,204
853,154,154,145
854,138,128,122
855,162,186,201
856,81,116,177
857,179,171,152
858,206,187,135
859,129,130,124
860,19,14,15
861,17,37,34
862,174,161,155
863,170,167,163
864,188,178,170
865,49,51,39
866,130,127,125
867,235,235,235
868,141,116,106
869,90,87,92
870,129,122,104
871,69,52,36
872,99,106,95
873,92,77,95
874,191,192,192
875,139,137,115
876,169,164,159
877,28,35,33
878,180,147,92
879,187,181,167
880,157,148,120
881,158,160,169
882,180,147,92
883,157,145,135
884,165,157,140
885,153,169,175
886,133,135,129
887,157,171,174
888,204,209,204
889,123,157,195
890,105,87,68
891,156,148,122
892,181,165,155
893,122,122,122
894,191,192,192
895,161,150,143
896,179,140,103
897,165,164,157
898,144,144,142
899,111,87,62
900,195,198,199
901,83,95,103
902,220,220,220
903,105,107,110
904,157,148,120
905,56,60,61
906,189,182,162
907,53,48,50
908,132,120,108
909,115,114,117
910,148,129,115
911,29,35,50
912,183,162,126
913,96,77,75
914,173,154,142
915,69,64,58
916,123,134,117
917,95,80,62
918,130,136,139
919,65,59,53
920,120,113,121
921,164,147,126
922,179,169,157
923,171,171,171
924,98,90,63
925,151,152,148
926,75,81,80
927,162,162,162
928,110,119,107
929,132,133,72
930,150,147,154
931,136,104,85
932,124,119,124
933,72,72,72
934,79,80,81
935,134,133,123
936,92,134,143
937,176,149,109
938,120,146,168
939,121,111,101
940,138,127,110
941,62,50,54
942,131,131,131
943,207,207,209
944,135,135,135
945,63,45,50
946,126,101,106
947,179,177,171
948,83,83,83
949,157,154,148
950,139,137,115
951,151,147,111
952,161,157,144
953,17,37,34
954,159,159,159
955,94,89,49
956,179,169,157
957,124,119,107
958,69,64,54
959,118,112,89
960,102,127,137
961,178,175,194
962,149,140,175
963,115,110,116
964,161,162,162
965,64,111,126
966,127,127,127
967,90,87,92
968,200,166,141
969,132,110,80
970,81,124,84
971,125,125,125
972,53,51,52
973,145,138,98
974,179,169,157
975,84,94,101
976,180,173,168
977,180,180,180
978,132,147,154
979,65,120,119
980,33,78,53
981,138,131,95
982,117,115,115
983,224,223,224
984,216,216,216
985,134,133,123
986,192,147,104
987,110,112,118
988,81,73,65
989,103,88,91
990,64,111,126
991,132,147,154
992,144,153,164
993,137,149,177
994,132,120,108
995,164,199,217
996,139,120,107
997,146,128,113
998,68,56,51
999,34,27,24
1000,170,164,136
1001,120,177,212
1002,134,134,130
1003,100,90,82
1004,141,156,158
1005,56,60,61
1006,118,105,119
1007,144,144,142
1008,163,119,79
1009,76,101,126
1010,106,125,136
1011,153,121,103
1012,162,163,168
1013,148,129,115
1014,210,210,214
1015,127,93,68
1016,132,117,99
1017,159,148,130
1018,135,124,114
